t,v,s,f,q
2011-03-12 12:42,3.42,0.026,"0,0,1,0",v
2011-03-12 12:48,3.441,0.041,"0,0,0,0",v
2011-03-12 12:54,2.656,0.123,"0,0,0,0",v
2011-03-12 13:00,2.409,0.114,"0,0,1,0",v
2011-03-12 13:06,3.578,0.091,"0,0,1,0",v
2011-03-12 13:12,2.988,0.176,"0,0,1,0",v
2011-03-12 13:18,2.296,0.034,"0,0,1,0",v
2011-03-12 13:24,2.907,0.053,"0,0,1,0",v
2011-03-12 13:30,2.679,0.078,"0,0,1,0",v
2011-03-12 13:36,2.337,0.017,"0,0,1,0",v
2011-03-12 13:42,2.477,0.048,"0,0,1,0",v
2011-03-12 13:48,2.571,0.023,"0,0,1,0",v
2011-03-12 13:54,2.939,0.058,"0,0,0,0",v
2011-03-12 14:00,3.03,0.038,"0,0,1,0",v
2011-03-12 14:06,2.769,0.028,"0,0,0,0",v
2011-03-12 14:12,2.956,0.08,"0,0,1,0",v
2011-03-12 14:18,2.083,0.112,"0,0,1,0",v
2011-03-12 14:24,2.159,0.151,"0,0,1,0",v
2011-03-12 14:30,2.769,0.027,"0,0,0,0",v
2011-03-12 14:36,2.435,0.081,"0,0,1,0",v
2011-03-12 14:42,2.195,0.027,"0,0,1,0",v
2011-03-12 14:48,2.436,0.019,"0,0,0,0",v
2011-03-12 14:54,2.261,0.02,"0,0,1,0",v
2011-03-12 15:00,2.497,0.054,"0,0,1,0",v
2011-03-12 15:06,2.616,0.07,"0,0,1,0",v
2011-03-12 15:12,1.91,0.086,"0,0,1,0",v
2011-03-12 15:18,2.03,0.087,"0,0,1,0",v
2011-03-12 15:24,2.391,0.018,"0,0,1,0",v
2011-03-12 15:30,2.422,0.015,"0,0,1,0",v
2011-03-12 15:36,2.458,0.025,"0,0,0,0",v
2011-03-12 15:42,2.102,0.095,"0,0,0,0",v
2011-03-12 15:48,1.666,0.036,"0,0,0,0",v
2011-03-12 15:54,1.867,0.058,"0,0,1,0",v
2011-03-12 16:00,2.029,0.019,"0,0,1,0",v
2011-03-12 16:06,2.167,0.019,"0,0,0,0",v
2011-03-12 16:12,2.173,0.023,"0,0,0,0",v
2011-03-12 16:18,1.679,0.103,"0,0,0,0",v
2011-03-12 16:24,1.521,0.039,"0,0,1,0",v
2011-03-12 16:30,1.798,0.025,"0,0,0,0",v
2011-03-12 16:36,1.876,0.019,"0,0,1,0",v
2011-03-12 16:42,2.247,0.073,"0,0,1,0",v
2011-03-12 16:48,2.123,0.129,"0,0,1,0",v
2011-03-12 16:54,1.296,0.077,"0,0,0,0",v
2011-03-12 17:00,1.303,0.044,"0,0,1,0",v
2011-03-12 17:06,1.475,0.06,"0,0,1,0",v
2011-03-12 17:12,2.094,0.061,"0,0,0,0",v
2011-03-12 17:18,1.904,0.074,"0,0,1,0",v
2011-03-12 17:24,1.476,0.023,"0,0,1,0",v
2011-03-12 17:30,1.709,0.036,"0,0,1,0",v
2011-03-12 17:36,1.558,0.053,"0,0,1,0",v
2011-03-12 17:42,1.387,0.019,"0,0,0,0",v
2011-03-12 17:48,1.572,0.017,"0,0,0,0",v
2011-03-12 17:54,1.361,0.06,"0,0,1,0",v
2011-03-12 18:00,1.246,0.046,"0,0,1,0",v
2011-03-12 18:06,1.919,0.114,"0,0,1,0",v
2011-03-12 18:12,1.918,0.126,"0,0,1,0",v
2011-03-12 18:18,1.077,0.069,"0,0,0,0",v
2011-03-12 18:24,1.508,0.142,"0,0,1,0",v
2011-03-12 18:30,1.797,0.046,"0,0,1,0",v
2011-03-12 18:36,1.066,0.179,"0,0,1,0",v
2011-03-12 18:42,0.752,0.101,"0,0,1,0",v
2011-03-12 18:48,1.742,0.139,"0,0,1,0",v
2011-03-12 18:54,2.057,0.039,"0,0,1,0",v
2011-03-12 19:00,1.416,0.107,"0,0,0,0",v
2011-03-12 19:06,1.34,0.062,"0,0,1,0",v
2011-03-12 19:12,1.348,0.064,"0,0,1,0",v
2011-03-12 19:18,1.142,0.034,"0,0,0,0",v
2011-03-12 19:24,1.77,0.115,"0,0,1,0",v
2011-03-12 19:30,2.014,0.032,"0,0,1,0",v
2011-03-12 19:36,1.385,0.143,"0,0,1,0",v
2011-03-12 19:42,0.973,0.016,"0,0,1,0",v
2011-03-12 19:48,1.252,0.082,"0,0,1,0",v
2011-03-12 19:54,1.673,0.056,"0,0,1,0",v
2011-03-12 20:00,1.831,0.046,"0,0,0,0",v
2011-03-12 20:06,1.324,0.053,"0,0,0,0",v
2011-03-12 20:12,1.492,0.094,"0,0,1,0",v
2011-03-12 20:18,1.785,0.045,"0,0,1,0",v
2011-03-12 20:24,1.305,0.068,"0,0,1,0",v
2011-03-12 20:30,1.501,0.107,"0,0,1,0",v
2011-03-12 20:36,1.883,0.028,"0,0,1,0",v
2011-03-12 20:42,1.584,0.054,"0,0,1,0",v
2011-03-12 20:48,1.529,0.019,"0,0,1,0",v
2011-03-12 20:54,1.18,0.066,"0,0,1,0",v
2011-03-12 21:00,1.516,0.162,"0,0,1,0",v
2011-03-12 21:06,2.128,0.029,"0,0,0,0",v
2011-03-12 21:12,1.683,0.116,"0,0,1,0",v
2011-03-12 21:18,1.462,0.108,"0,0,1,0",v
2011-03-12 21:24,2.206,0.045,"0,0,1,0",v
2011-03-12 21:30,2.018,0.093,"0,0,1,0",v
2011-03-12 21:36,1.636,0.034,"0,0,1,0",v
2011-03-12 21:42,2.142,0.082,"0,0,1,0",v
2011-03-12 21:48,2.111,0.107,"0,0,1,0",v
2011-03-12 21:54,1.147,0.12,"0,0,0,0",v
2011-03-12 22:00,1.203,0.148,"0,0,1,0",v
2011-03-12 22:06,2.202,0.074,"0,0,0,0",v
2011-03-12 22:12,2.328,0.037,"0,0,1,0",v
2011-03-12 22:18,1.843,0.062,"0,0,0,0",v
